mined_at,tweet_id,tweet_id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,hashtags,source,language,created_at,year,month,day,day_of_week,hour,minute,screen_name,user_tweet_id,user_tweet_id_str,user_favourites_count,followers_count,friends_count,text
2020-06-21 01:19:49.075014,1273602329791643653,1273602329791643653,dirkhens,1273591410537697282,20594738,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nl,2020-06-18 13:03:52+00:00,2020,6,18,3,13,3,jelleprins,16546619,16546619,4414,10515,1063,"@dirkhens @picnic @JumboSupermarkt @albertheijn Ja, moet ik echt nog een keer proberen"
2020-06-21 01:19:46.491105,1273602329791643653,1273602329791643653,dirkhens,1273591410537697282,20594738,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nl,2020-06-18 13:03:52+00:00,2020,6,18,3,13,3,jelleprins,16546619,16546619,4414,10515,1063,"@dirkhens @picnic @JumboSupermarkt @albertheijn Ja, moet ik echt nog een keer proberen"
2020-06-21 01:19:49.752188,1273602329791643653,1273602329791643653,dirkhens,1273591410537697282,20594738,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nl,2020-06-18 13:03:52+00:00,2020,6,18,3,13,3,jelleprins,16546619,16546619,4414,10515,1063,"@dirkhens @picnic @JumboSupermarkt @albertheijn Ja, moet ik echt nog een keer proberen"
2020-06-21 01:19:46.242249,1273602329791643653,1273602329791643653,dirkhens,1273591410537697282,20594738,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nl,2020-06-18 13:03:52+00:00,2020,6,18,3,13,3,jelleprins,16546619,16546619,4414,10515,1063,"@dirkhens @picnic @JumboSupermarkt @albertheijn Ja, moet ik echt nog een keer proberen"
2020-06-21 01:19:49.493895,1273602329791643653,1273602329791643653,dirkhens,1273591410537697282,20594738,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nl,2020-06-18 13:03:52+00:00,2020,6,18,3,13,3,jelleprins,16546619,16546619,4414,10515,1063,"@dirkhens @picnic @JumboSupermarkt @albertheijn Ja, moet ik echt nog een keer proberen"
2020-06-21 01:19:47.290034,1273602593781145600,1273602593781145600,markjan55en,1273593297450270724,1208469866086313984,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nl,2020-06-18 13:04:55+00:00,2020,6,18,3,13,4,jelleprins,16546619,16546619,4414,10515,1063,@markjan55en @picnic @JumboSupermarkt @albertheijn Oh als je daar hulp bij zoekt moet je eens @bramduvigneau vragen!
2020-06-21 01:19:49.243548,1273602593781145600,1273602593781145600,markjan55en,1273593297450270724,1208469866086313984,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nl,2020-06-18 13:04:55+00:00,2020,6,18,3,13,4,jelleprins,16546619,16546619,4414,10515,1063,@markjan55en @picnic @JumboSupermarkt @albertheijn Oh als je daar hulp bij zoekt moet je eens @bramduvigneau vragen!
2020-06-21 01:19:46.491105,1273602593781145600,1273602593781145600,markjan55en,1273593297450270724,1208469866086313984,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nl,2020-06-18 13:04:55+00:00,2020,6,18,3,13,4,jelleprins,16546619,16546619,4414,10515,1063,@markjan55en @picnic @JumboSupermarkt @albertheijn Oh als je daar hulp bij zoekt moet je eens @bramduvigneau vragen!
2020-06-21 01:19:48.065959,1273602593781145600,1273602593781145600,markjan55en,1273593297450270724,1208469866086313984,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nl,2020-06-18 13:04:55+00:00,2020,6,18,3,13,4,jelleprins,16546619,16546619,4414,10515,1063,@markjan55en @picnic @JumboSupermarkt @albertheijn Oh als je daar hulp bij zoekt moet je eens @bramduvigneau vragen!
2020-06-21 01:19:49.752188,1273602593781145600,1273602593781145600,markjan55en,1273593297450270724,1208469866086313984,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nl,2020-06-18 13:04:55+00:00,2020,6,18,3,13,4,jelleprins,16546619,16546619,4414,10515,1063,@markjan55en @picnic @JumboSupermarkt @albertheijn Oh als je daar hulp bij zoekt moet je eens @bramduvigneau vragen!
