mined_at,tweet_id,tweet_id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,hashtags,source,language,created_at,year,month,day,day_of_week,hour,minute,screen_name,user_tweet_id,user_tweet_id_str,user_favourites_count,followers_count,friends_count,text
2020-06-21 12:21:48.502231,1273583869753724930,1273583869753724930,jelleprins,1.273583081321042e+18,16546619.0,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",nl,2020-06-18 11:50:31+00:00,2020,6,18,3,11,50,GHengeveld,20709019,20709019,889,1484,1750,"@jelleprins @picnic @JumboSupermarkt @albertheijn Geen ervaring met die van Jumbo of AH, maar die van Picnic is so gebruiksvriendelijk dat mijn zoontje van 3 de boodschappen doet."
2020-06-21 12:21:49.242234,1273583869753724930,1273583869753724930,jelleprins,1.273583081321042e+18,16546619.0,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",nl,2020-06-18 11:50:31+00:00,2020,6,18,3,11,50,GHengeveld,20709019,20709019,889,1484,1750,"@jelleprins @picnic @JumboSupermarkt @albertheijn Geen ervaring met die van Jumbo of AH, maar die van Picnic is so gebruiksvriendelijk dat mijn zoontje van 3 de boodschappen doet."
2020-06-21 12:21:49.047784,1273583869753724930,1273583869753724930,jelleprins,1.273583081321042e+18,16546619.0,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",nl,2020-06-18 11:50:31+00:00,2020,6,18,3,11,50,GHengeveld,20709019,20709019,889,1484,1750,"@jelleprins @picnic @JumboSupermarkt @albertheijn Geen ervaring met die van Jumbo of AH, maar die van Picnic is so gebruiksvriendelijk dat mijn zoontje van 3 de boodschappen doet."
2020-06-21 12:21:48.856286,1273583869753724930,1273583869753724930,jelleprins,1.273583081321042e+18,16546619.0,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",nl,2020-06-18 11:50:31+00:00,2020,6,18,3,11,50,GHengeveld,20709019,20709019,889,1484,1750,"@jelleprins @picnic @JumboSupermarkt @albertheijn Geen ervaring met die van Jumbo of AH, maar die van Picnic is so gebruiksvriendelijk dat mijn zoontje van 3 de boodschappen doet."
2020-06-21 12:21:48.666806,1273583869753724930,1273583869753724930,jelleprins,1.273583081321042e+18,16546619.0,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",nl,2020-06-18 11:50:31+00:00,2020,6,18,3,11,50,GHengeveld,20709019,20709019,889,1484,1750,"@jelleprins @picnic @JumboSupermarkt @albertheijn Geen ervaring met die van Jumbo of AH, maar die van Picnic is so gebruiksvriendelijk dat mijn zoontje van 3 de boodschappen doet."
2020-06-21 12:21:48.313747,1273583869753724930,1273583869753724930,jelleprins,1.273583081321042e+18,16546619.0,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",nl,2020-06-18 11:50:31+00:00,2020,6,18,3,11,50,GHengeveld,20709019,20709019,889,1484,1750,"@jelleprins @picnic @JumboSupermarkt @albertheijn Geen ervaring met die van Jumbo of AH, maar die van Picnic is so gebruiksvriendelijk dat mijn zoontje van 3 de boodschappen doet."
2020-06-21 12:21:48.124210,1273583869753724930,1273583869753724930,jelleprins,1.273583081321042e+18,16546619.0,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",nl,2020-06-18 11:50:31+00:00,2020,6,18,3,11,50,GHengeveld,20709019,20709019,889,1484,1750,"@jelleprins @picnic @JumboSupermarkt @albertheijn Geen ervaring met die van Jumbo of AH, maar die van Picnic is so gebruiksvriendelijk dat mijn zoontje van 3 de boodschappen doet."
2020-06-21 12:21:47.952169,1273583869753724930,1273583869753724930,jelleprins,1.273583081321042e+18,16546619.0,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",nl,2020-06-18 11:50:31+00:00,2020,6,18,3,11,50,GHengeveld,20709019,20709019,889,1484,1750,"@jelleprins @picnic @JumboSupermarkt @albertheijn Geen ervaring met die van Jumbo of AH, maar die van Picnic is so gebruiksvriendelijk dat mijn zoontje van 3 de boodschappen doet."
2020-06-21 12:21:49.408779,1273583869753724930,1273583869753724930,jelleprins,1.273583081321042e+18,16546619.0,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",nl,2020-06-18 11:50:31+00:00,2020,6,18,3,11,50,GHengeveld,20709019,20709019,889,1484,1750,"@jelleprins @picnic @JumboSupermarkt @albertheijn Geen ervaring met die van Jumbo of AH, maar die van Picnic is so gebruiksvriendelijk dat mijn zoontje van 3 de boodschappen doet."
2020-06-21 12:21:47.726768,1273583869753724930,1273583869753724930,jelleprins,1.273583081321042e+18,16546619.0,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",nl,2020-06-18 11:50:31+00:00,2020,6,18,3,11,50,GHengeveld,20709019,20709019,889,1484,1750,"@jelleprins @picnic @JumboSupermarkt @albertheijn Geen ervaring met die van Jumbo of AH, maar die van Picnic is so gebruiksvriendelijk dat mijn zoontje van 3 de boodschappen doet."
